Ref,Option,Channel,Direction,Signal,Controller resource,Pins,Qty,Items,Status,Notes
D4,Both,Flow meter,In,Digital pulse 5 V,Timer capture / counter input,1,1,Flow meter on coffee pump suction line via CZ1,Fitted,"Established digital from OEM sheet 3-3: 3-pin connector, R51 2k pull-up to VCC5, landing on a general-purpose port pin while the three analogue inputs are occupied by the thermistors. This supersedes an earlier reading of the same scan that placed it on analogue-labelled pins. STILL OPEN: open-drain vs push-pull (open-drain re-references to 3V3 by pull-up alone, push-pull needs a shifter) and the K-factor in pulses per litre"
D5,Both,Mains zero-cross,In,Opto-isolated edge - both crossings required,GPIO with edge-capture interrupt,1,1,Zero-cross front end,Fitted (half-wave - MUST REPLACE),"CONFIRMED half-wave: D6 1N4007 in series with R5 120k 1W into U2 PC817, so only one polarity conducts. DEC-MAINS-PHASED-ACTUATION-BELOW-SEAM requires both crossings - needs a new front end (bridge or antiparallel LED opto)"
D6,Both,Coffee heater mains-presence confirm,In,Opto-isolated AC sense (LTV814 via 120k 1W),GPIO in,1,1,CFSIG to U3 PA2,Fitted,"Senses mains actually present at the heater node - detects a relay that did not close, a welded contact or an open thermal cutout. Now enumerated; was absent from controller-io.md and the graph. Serves REQ-ACTUATION-CONFIRMATION-001.C2, which requires the confirmation available for each output, and the time it takes, to be established rather than assumed - this is the prompt electrical confirmation that requirement distinguishes from slow effect-based confirmation. Note this establishes the AVAILABILITY half of that criterion only - the confirmation exists and is prompt and electrical. The time it takes is not established here and is measurement work"
D7,Both,Steam heater mains-presence confirm,In,Opto-isolated AC sense (LTV814 via 120k 1W),GPIO in,1,1,SMSIG to U3 PA1,Fitted,"As D6, steam side. Serves REQ-ACTUATION-CONFIRMATION-001.C2, which requires the confirmation available for each output, and the time it takes, to be established rather than assumed - this is the prompt electrical confirmation that requirement distinguishes from slow effect-based confirmation. Note this establishes the AVAILABILITY half of that criterion only - the confirmation exists and is prompt and electrical. The time it takes is not established here and is measurement work"
O1,Both,Coffee thermoblock element,Out,Logic level to mains switching device,GPIO out commandable per half-cycle,1,1,"COF HEATER, measured 1004 W at 230 V",Fitted (relay),"OEM is K1 HF3FD/012HST 12V mechanical relay via Q1 - CONFIRMS it cannot be half-cycle commanded. Element measured at 52.7 ohm cold, so 1004 W and ~4.4 A continuous at 230 V; the 1000 W circuit-diagram label is superseded by that measurement. Prefer a ZERO-CROSSING optotriac (MOC3063 class) into a triac rated well above the steam element's 4.9 A after derating, with heatsink, or a 25 A SSR"
O2,Both,Steam thermoblock element,Out,Logic level to mains switching device,GPIO out commandable per half-cycle,1,1,"STM HEATER, measured 1126 W at 230 V",Fitted (relay),"OEM K2 HF3FD/012HST via Q4. Element measured at 47.0 ohm cold, so 1126 W and ~4.9 A continuous at 230 V - this is the LARGER of the two and is what sizes the switching part for both channels. Do not inherit the coffee channel's 4.4 A. Both together draw ~9.3 A, which is what REQ-POWER-BUDGET-001 arbitrates against an ordinary 10 A domestic circuit"
O3,Both,Coffee pump,Out,Logic level phase-timed,GPIO out timed against zero-cross,1,1,COF PUMP via U5 MOC3021 + Q2 Z0409NF,Fitted,"MOC3021 is RANDOM-PHASE (no zero-cross detector) so phase control is possible - CONFIRMS phase-capable. Keep random-phase on any replacement. Z0409NF is 4 A - adequate for a pump, not for a heater"
O4,Both,Steam pump,Out,Logic level phase-timed,GPIO out timed against zero-cross,1,1,STM PUMP via U7 MOC3021 + Q5 Z0409NF,Fitted,As O3
O5,Both,Two-way solenoid valve,Out,Logic level to mains-rated switch,GPIO out,1,1,COF VALVE 2T0607W via K3 HF32FA/012HSL,Fitted,CONFIRMS mains AC coil - OEM switches it with a 12 V relay via Q3. Relay coil needs a 12 V rail on the new board
O6,Both,Three-way diverter solenoid,Out,Logic level to mains-rated switch,GPIO out,1,1,HOT VALVE 3T0618W via K4 HF32FA/012HSL,Fitted,As O5
O7,Both,Espresso gauge stepper,Out,Direction level + step clock to an inherited driver,Timer output (step) + GPIO (direction),2,1,MOT1 resistance-to-pour gauge,Fitted,"The VID66-08 is on the GAUGE ASSEMBLY, not the main board - absent from main-board spare photos, and the 9-conductor harness only closes if the driver is local. If that board is retained the driver is inherited and the controller drives logic lines, not motor phases. Step clock needs a timer channel: a needle has inertia and an uneven rate reads as stutter. DRIVE LEVEL: the VID6608 datasheet puts Vih at 3.15 V min and Vil at 1.35 V max as absolute figures across its whole 4.5-5.5 V supply range. Its prose says the inputs carry level shifters so the part may run at a higher VDD than the logic driving it, but that decouples the threshold from the motor rail without lowering it. So a 3.3 V controller has 150 mV of margin at best and needs level shifting or a Voh guarantee checked against 3.15 V. Rising edge steps 1/12 degree of shaft rotation fixed in silicon; 450 ns min pulse; 100 ns direction setup; 20 ns glitch filter; speed ceiling 7.2 kHz, quoted against VID29 movements that MOT1/MOT2 have not been identified as. See docs/connector-pinouts.md"
O8,Both,Milk gauge stepper,Out,Direction level + step clock to the same inherited driver,Timer output (step) + GPIO (direction),2,1,MOT2 milk temperature gauge,Fitted,"As O7, second channel of the same VID66-08 and under the same 3.15 V Vih obligation. The part is out of production, so retaining it makes an unobtainable device a single point of failure - an obtainability risk rather than a saving - and distinct from the unknown-condition question OBL-PHYSICAL-CONFIGURATION-001.C3 asks, which is answered by testing the part"
O9,Both,Gauge driver reset,Out,Logic level,GPIO out,1,1,RST on the VID66-08,Fitted,"Resets the driver's phase counter but does not establish needle position. Active low and SHARED across both channels - neither gauge can be reset alone. The datasheet asks it be held low while VDD rises and released about 1 ms after the supply settles, so a replacement owes that at power-on, and it asks for an external pull-down to hold the line low through start-up - a part on the board, not just firmware ordering. Both movements have hard end stops and the machine sweeps to full scale and back to zero at power-on, so a replacement owes the same homing routine - without it a step count runs from an unknown origin and the needles read plausibly and wrongly. Counting steps between stops also yields steps-per-sweep, which no document carries"
O10,Both,Panel indicator elements,Out,Logic level sink,Shares the 5 bidirectional lines of D1 - no pins of its own,0,8 elements / 5 groups,PWR x1 MAN x2 ONE x1 TWO x2 PRG x2,Fitted,"Count settled at 8 elements across 5 functions by tracing the physical panel board. The circuit diagram's sixth function, WATER, is a real indicator but sits on the gauge assembly - see O13. Each group's cathodes share the line carrying its key, so the indicators cost no pin beyond D1's five. ~300 ohm series resistors are on the panel and stay with it. See docs/connector-pinouts.md"
O12,Both,Panel indicator anode rail gate,Out,Logic level to a rail-switching transistor,Timer / PWM output,1,1,Common anode rail for all five indicator groups (OEM Q7),Fitted,"THE MULTIPLEXING GATE, not an ornament: the rail must be blanked to read the keys, because each line carries both. It is also how brightness is modulated - globally rather than per line, which is why the PWR element appears to ramp alone while heating (it is the only one lit). ONE timer output for the panel, not one per line - and the same rail is extended over the gauge harness to the low-water indicator of O13, so this single gate covers every indicator on the machine. It costs a second connector pin there, not a second controller pin. See docs/connector-pinouts.md"
O11,Both,Buzzer,Out,Logic level to a driver stage,GPIO out,1,1,Sounder on the front panel near the pushbuttons,Fitted,"Was absent from controller-io.md, reference-machine.md and the graph; now enumerated. Drive stage is on the main board being replaced, which is why the sounder takes two harness conductors but only one controller pin. Magnetic (needs a drive waveform) vs self-driving piezo (needs on/off only) NOT ESTABLISHED. It is one mechanism by which the machine tells the operator something, and it is the audible half of low-water annunciation - but NO criterion requires an audible channel specifically, so do not read this row as coverage of one"
O13,Both,Low-water indicator,Out,Logic level sinking an indicator cathode,GPIO out,1,1,WATER indicator on the gauge assembly,Fitted,"Was absent from controller-io.md and the graph; the fourth such channel found on this branch. Modulated rather than merely switched - observed to dim and brighten in step with the PWR element, which places it on the SAME gated rail as the button panel, extended over the gauge harness as that harness's ninth conductor. An earlier row here had it on a separate supply, on an observation of the same machine that has since been corrected. It is the visual half of a low-water annunciation whose audible half is the buzzer; keeping one and dropping the other degrades the annunciation without removing it"
U1,Both,Operator display link,Bidir,UART or bespoke 2-wire,UART peripheral,2,1,Serial display board,Undecided; the retained-panel alternative no longer arises,"Conservative figure is direct drive. The OEM CMDTX/SLVOK pair is not an inter-board link: both microcontrollers are on the main board, so those two wires connect two chips this project replaces and the panel board is retained but carries no controller to speak to. A display is a separate question this row does not settle"
